e15,e16,e17,e18,e19,e20,pattern_count,q110,q41_rank,q41_selected,x28_nonpaired_sets,x28_cap,x175_rank,x175_selected
29,14,0,0,0,0,70778880,0,,0,6723840,475905864499200,178,0
30,14,0,0,0,0,1203240960,0,,0,1344784,1618099191152640,211,0
31,14,0,0,0,0,12834570240,0,,0,237321,3045913043927040,239,0
32,14,0,0,0,0,96259276800,1,,0,,,,0
30,15,0,0,0,0,524288,0,,0,1344224,704760512512,39,1
31,15,0,0,0,0,17825792,0,,0,237216,4228563075072,63,1
32,15,0,0,0,0,285212672,1,,0,,,,0
4,2,1,0,0,0,16,0,,0,103719945380211840,1659519126083389440,529,0
5,2,1,0,0,0,960,0,,0,55317304202779648,53104612034668462080,735,0
6,2,1,0,0,0,27840,0,,0,29065024242773072,809170274918802324480,901,0
7,2,1,0,0,0,519680,0,,0,15033633229712220,7812678516816846489600,1056,0
8,2,1,0,0,0,7015680,0,,0,7648690591102740,53660765606187670963200,1190,0
9,2,1,0,0,0,72963072,0,,0,3824345295922820,279035981179278022103040,1297,0
10,2,1,0,0,0,608025600,0,,0,1877405872770852,1141510832235020949811200,1374,0
11,2,1,0,0,0,4169318400,0,,0,903936161090862,3768797668861495008460800,1423,0
12,2,1,0,0,0,23973580800,0,,0,426384981712330,10221974810987065611264000,1466,0
13,2,1,0,0,0,117204172800,0,,0,196793068513920,23064968807947718885376000,1498,0
14,2,1,0,0,0,492257525760,0,,0,88749815225840,43687764454729174017638400,1516,0
15,2,1,0,0,0,1790027366400,0,,0,39049918704796,69900423137280082929254400,1532,0
16,2,1,0,0,0,5668419993600,0,,0,16735679446836,94864859982925770660249600,1543,0
17,2,1,0,0,0,15697163059200,0,,0,6973199770110,109459453835792624320512000,1550,0
18,2,1,0,0,0,38121681715200,0,,0,2818953098710,107463232799099387707392000,1549,0
19,2,1,0,0,0,81326254325760,0,,0,1103068603875,89708437817499262648320000,1541,0
20,2,1,0,0,0,152486726860800,0,,0,416714805913,63543476788106915767910400,1531,0
21,2,1,0,0,0,251154608947200,0,,0,151532656696,38058125135214187590451200,1511,0
22,2,1,0,0,0,362778879590400,0,,0,52860229080,19176574680534280568832000,1490,0
23,2,1,0,0,0,458247005798400,0,,0,17620076360,8074347233909170765824000,1458,0
24,2,1,0,0,0,504071706378240,0,,0,5586853480,2816174766948808340275200,1405,0
25,2,1,0,0,0,480068291788800,0,,0,1676056044,804621361985373811507200,1353,0
26,2,1,0,0,0,392783147827200,0,,0,472733756,185681852765855494963200,1267,0
27,2,1,0,0,0,273240450662400,0,,0,124403620,33992101192833957888000,1157,0
28,2,1,0,0,0,159390262886400,0,,0,30260340,4823203547631845376000,1022,0
29,2,1,0,0,0,76507326185472,0,,0,6724520,514475045080730173440,874,0
30,2,1,0,0,0,29425894686720,0,,0,1344904,39575003467748474880,719,0
31,2,1,0,0,0,8718783610880,0,,0,237336,2069281227071815680,546,0
32,2,1,0,0,0,1868310773760,1,,0,,,,0
6,3,1,0,0,0,480,0,,0,29065024205330912,13951211618558837760,656,0
7,3,1,0,0,0,27840,0,,0,15033633209653920,418536348556765132800,858,0
8,3,1,0,0,0,779520,0,,0,7648690580702140,5962307281468932172800,1037,0
9,3,1,0,0,0,14031360,0,,0,3824345290722520,53660765538432338227200,1189,0
10,3,1,0,0,0,182407680,0,,0,1877405870274708,342453249215190448957440,1305,0
11,3,1,0,0,0,1824076800,0,,0,903936159946796,1648848978040039817932800,1386,0
12,3,1,0,0,0,14592614400,0,,0,426384981214910,6222071616820425160704000,1450,0
13,3,1,0,0,0,95894323200,0,,0,196793068310430,18871338096080052350976000,1489,0
14,3,1,0,0,0,527418777600,0,,0,88749815148320,46808319017752897093632000,1519,0
15,3,1,0,0,0,2461287628800,0,,0,39049918677664,96113081746980458083123200,1544,0
